,Unnamed: 0.1,Unnamed: 0,seed,config,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance,agent
92,92.0,0,1901,FuseConfig.WDLR,False,Vision_Random,wrist,100,0.0,0.0,0.2389904525946267,0.1305899023131949,0.2335402405711758,0.3517752831295562,
93,93.0,1,1901,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,0.1060971463236837,0.1038556937691401,0.266280432824566,0.279235838991405,
94,94.0,2,1901,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,100,1.0,0.0,0.3076322915083992,0.2679986519535883,0.542541566714896,0.6291554861173597,
95,95.0,3,1901,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,1.0,0.0,0.1641595861345681,0.1199641798101976,0.1581450543890255,0.2597929327951272,
96,96.0,4,1901,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,3.0,0.0,0.1477553705111451,0.1283686146125676,0.2234602211176825,0.282114408801017,
97,97.0,5,1901,FuseConfig.WDLR,False,Vision_Random,wrist,200,0.0,0.0,0.2029815428451607,0.1187623361110091,0.1963401663827619,0.3254008999685396,
98,98.0,6,1901,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.1836491962543375,0.1148507702299735,0.2515037124192072,0.3161281325138577,
99,99.0,7,1901,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,200,0.0,0.0,0.2784250027311061,0.250092970227718,0.3972629824314327,0.4262402989514419,
100,100.0,8,1901,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0.0,0.0,0.2421077760913038,0.1278662259079328,0.2031423419746558,0.3463613279095816,
101,101.0,9,1901,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,0.0,0.2289036803643022,0.1183164583517976,0.1690424959272552,0.2421455726757806,
102,102.0,10,1901,FuseConfig.WDLR,False,Vision_Random,wrist,600,0.0,0.0,0.1508442954996792,0.1286297751021269,0.2214411744109286,0.2593840340849653,
103,103.0,11,1901,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.1757251981102563,0.1396329577654999,0.2486723932647603,0.3085166722759774,
104,104.0,12,1901,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,600,2.0,0.0,0.299976249395388,0.2623447166454505,0.4566977283397092,0.4788905377133003,
105,105.0,13,1901,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,2.0,0.0,0.2000062547287981,0.1197058118266261,0.177488778148986,0.2682937863716868,
106,106.0,14,1901,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,2.0,0.0,0.2015136591594762,0.1242149105060873,0.2103697782074832,0.3002594838070488,
107,107.0,15,1901,FuseConfig.WDLR,False,Vision_Random,wrist,800,0.0,0.0,0.1675920292269499,0.1115852060190882,0.229064894499868,0.3077543284495933,
108,108.0,16,1901,FuseConfig.WDLR,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.1968552263244486,0.1291000310466254,0.218261487742916,0.2932690569262091,
109,109.0,17,1901,FuseConfig.WDLR,False,Vision_Random,l_shoulder+r_shoulder,800,1.0,0.0,0.2850182737757588,0.2570912523176766,0.5441880333280882,0.6347226728923315,
110,110.0,18,1901,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0.0,0.0,0.1712982662747276,0.115524215235902,0.1874606829255101,0.2877274387018748,
111,111.0,19,1901,FuseConfig.WDLR,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,3.0,0.0,0.1610485195865867,0.1147068413601053,0.1623701899971639,0.2441987646094477,
112,112.0,1,1901,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,100,2.0,0.0,0.2150757335384264,0.2149002035622111,0.3987830503988721,0.402158464145824,
113,113.0,4,1901,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.2326527664374726,0.1556343862756603,0.2185474931277887,0.2673033999033608,
114,114.0,6,1901,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2145346253763655,0.1581126996750977,0.2274603782331032,0.3053254416831302,
115,115.0,9,1901,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,1.0,0.0,0.2379467954022523,0.1452328045270954,0.2219185711904713,0.3176498773945944,
116,116.0,11,1901,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.1200305735489932,0.1195680954694178,0.2551781186336407,0.2552097362561439,
117,117.0,14,1901,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.2437534590974068,0.1893004135537132,0.2518625402314739,0.3339812873232452,
118,118.0,16,1901,FuseConfig.WLR_D,False,Vision_Random,wrist+wrist_depth,800,1.0,0.0,0.2249151203097603,0.170121513026884,0.2788963984225914,0.3380987851406428,
119,119.0,19,1901,FuseConfig.WLR_D,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.1637299531799763,0.1063398719804994,0.1523602726176762,0.2235446680816609,
120,120.0,1,1901,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,100,1.0,0.0,0.2401488596300415,0.2261355842132613,0.3356772981748719,0.3417251867682301,
121,121.0,4,1901,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.2499437256452962,0.1694160182541403,0.2032646237828654,0.3773002473104748,
122,122.0,6,1901,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.2193068076338515,0.1300192463770916,0.2530208666761106,0.3200991266134588,
123,123.0,9,1901,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.1947362501616088,0.1449475703555144,0.212760611495083,0.2884433357460932,
124,124.0,11,1901,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,600,1.0,0.0,0.1620146849536951,0.1228751334378496,0.247485855711613,0.3107667684926133,
125,125.0,14,1901,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.1852863435572384,0.1315536517731125,0.1657921154521305,0.2556502175181323,
126,126.0,16,1901,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+wrist_depth,800,1.0,0.0,0.2256565722546057,0.1815432348366643,0.2625541559831733,0.3171571411324324,
127,127.0,19,1901,FuseConfig.DEPTH_FEATS_GATED,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,1.0,0.0,0.2220742480661141,0.1297232287280303,0.1633778522585815,0.2228975924332347,
